区分,施設名,郵便番号,住所,電話番号,地区,校区,公共・民間,マッチングレベル,世界_10進_X,世界_10進_Y
第一指定避難所,大村校区市民館,440-0081,豊橋市大村町字地之神7-4,0532-53-9658,北部,大村,公共,地番（枝番まで）・号,137.3980534,34.78997898
第一指定避難所,北部地区市民館,440-0081,豊橋市大村町字仲川原48-5,0532-53-4212,北部,大村,公共,地番（枝番まで）・号,137.3939215,34.7818986
第一指定避難所,下地校区市民館,440-0086,豊橋市下地町字宮前68,0532-53-4481,北部,下地,公共,地番・番地,137.3847799,34.77770063
第一指定避難所,津田校区市民館,440-0093,豊橋市横須賀町宮前10-2,0532-31-9644,北部,津田,公共,地番（枝番まで）・号,137.3671272,34.78070261
第一指定避難所,前芝校区市民館,441-0152,豊橋市前芝町字塩見5-1,0532-32-3750,前芝,前芝,公共,地番（枝番まで）・号,137.3376895,34.78667756
第一指定避難所,下条校区市民館,440-0002,豊橋市下条東町字西浦61-3,0532-88-1420,青陵,下条,公共,地番（枝番まで）・号,137.4150393,34.80255594
第一指定避難所,牛川校区市民館,440-0016,豊橋市牛川町字中郷13-28,0532-53-9533,青陵,牛川,公共,地番（枝番まで）・号,137.4165508,34.779754
第一指定避難所,青陵地区市民館,440-0014,豊橋市南牛川二丁目4-1,0532-61-9285,青陵,牛川,公共,地番（枝番まで）・号,137.4184507,34.77576354
第一指定避難所,旭校区市民館,440-0057,豊橋市旭町字旭535-2,0532-53-4795,青陵,旭,公共,地番（枝番まで）・号,137.4043222,34.76701356
第一指定避難所,東田校区市民館,440-0065,豊橋市仁連木町15,0532-61-9822,青陵,東田,公共,地番・番地,137.4111296,34.76987516
第一指定避難所,鷹丘校区市民館,440-0013,豊橋市西小鷹野三丁目7-1,0532-61-9821,東陵,鷹丘,公共,地番（枝番まで）・号,137.4247697,34.77275403
第一指定避難所,東陵地区市民館,440-0006,豊橋市牛川町字乗小路32-31,0532-64-8088,東陵,鷹丘,公共,地番（枝番まで）・号,137.4344601,34.77434747
第一指定避難所,賀茂校区市民館,441-1101,豊橋市賀茂町字宗末41-1,0532-88-1421,石巻,賀茂,公共,地番（枝番まで）・号,137.4352455,34.8377863
第一指定避難所,西郷校区市民館,441-1105,豊橋市石巻平野町字中野田100-3,0532-88-1422,石巻,西郷,公共,地番（枝番まで）・号,137.4694458,34.83056995
第一指定避難所,玉川校区市民館,441-1115,豊橋市石巻本町字野添11-1,0532-88-5441,石巻,玉川,公共,地番（枝番まで）・号,137.4372466,34.80020153
第一指定避難所,石巻地区市民館,441-1115,豊橋市石巻本町字市場110,0532-88-1317,石巻,玉川,公共,地番・番地,137.4390694,34.80270604
第一指定避難所,嵩山校区市民館,441-1111,豊橋市嵩山町字宮下83-1,0532-88-1412,石巻,嵩山,公共,地番（枝番まで）・号,137.4729029,34.80088509
第一指定避難所,石巻校区市民館,441-1112,豊橋市石巻町字西浦16,0532-88-1424,石巻,石巻,公共,地番・番地,137.4385166,34.78501447
第一指定避難所,豊校区市民館,440-0831,豊橋市西岩田五丁目6-2,0532-61-9860,豊岡,豊,公共,地番（枝番まで）・号,137.4212089,34.75188975
第一指定避難所,豊岡地区市民館,440-0831,豊橋市西岩田四丁目2-9,0532-61-5632,豊岡,豊,公共,地番（枝番まで）・号,137.4192126,34.75469378
第一指定避難所,岩田校区市民館,440-0832,豊橋市中岩田四丁目1-2,0532-61-9861,豊岡,岩田,公共,地番（枝番まで）・号,137.4284121,34.75677881
第一指定避難所,多米校区市民館,440-0027,豊橋市多米中町二丁目27-1,0532-61-9823,東陽,多米,公共,地番（枝番まで）・号,137.4503851,34.76119616
第一指定避難所,東陽地区市民館,440-0027,豊橋市多米中町一丁目6-1,0532-61-7741,東陽,多米,公共,地番（枝番まで）・号,137.4423591,34.75926354
第一指定避難所,二川校区市民館,441-3142,豊橋市大岩町字東郷内4-8,0532-41-1240,二川,二川,公共,地番（枝番まで）・号,137.449535,34.72582422
第一指定避難所,二川地区市民館,441-3142,豊橋市大岩町字東郷内111-1,0532-41-0551,二川,二川,公共,地番（枝番まで）・号,137.447918,34.72510808
第一指定避難所,谷川校区市民館,441-3106,豊橋市中原町字東ノ谷1-11,0532-41-4963,二川,谷川,公共,地番（枝番まで）・号,137.4789622,34.72806973
第一指定避難所,二川南校区市民館,441-3147,豊橋市大岩町字前荒田145-2,0532-41-4964,二川,二川南,公共,地番（枝番まで）・号,137.4486402,34.71402065
第一指定避難所,細谷校区市民館,441-3113,豊橋市細谷町字中ノ島54-1,0532-21-2943,五並,細谷,公共,地番（枝番まで）・号,137.4689252,34.68628694
第一指定避難所,五並地区市民館,441-3113,豊橋市細谷町字上大附98-9,0532-21-2729,五並,細谷,公共,地番（枝番まで）・号,137.4643939,34.68771777
第一指定避難所,小沢校区市民館,441-3122,豊橋市小島町字荒巻81-1,0532-21-2844,五並,小沢,公共,地番（枝番まで）・号,137.4418503,34.6803742
第一指定避難所,老津校区市民館,441-3301,豊橋市老津町字宮脇15-1,0532-23-1485,章南,老津,公共,地番（枝番まで）・号,137.3358753,34.69594965
第一指定避難所,杉山地区市民館,441-3302,豊橋市杉山町字孝仁11,0532-23-2216,章南,杉山,公共,地番・番地,137.3244361,34.67784451
第一指定避難所,富士見校区市民館,441-8135,豊橋市富士見台二丁目1-5,0532-23-1402,高豊,富士見,公共,地番（枝番まで）・号,137.3580597,34.68162697
第一指定避難所,豊南校区市民館,441-3213,豊橋市西赤沢町字南ノ谷99-9,0532-21-2845,高豊,豊南,公共,地番（枝番まで）・号,137.3631998,34.66176471
第一指定避難所,高豊地区市民館,441-3211,豊橋市伊古部町字多岸田302,0532-21-2824,高豊,豊南,公共,地番・番地,137.3826522,34.66575765
第一指定避難所,高根校区市民館,441-3202,豊橋市西七根町字中石塚1-7,0532-21-2941,高豊,高根,公共,地番（枝番まで）・号,137.4139143,34.67176595
第一指定避難所,大崎校区市民館,441-8073,豊橋市大崎町字柿ノ木16,0532-25-2045,南稜,大崎,公共,地番・番地,137.3441823,34.71707709
第一指定避難所,植田校区市民館,441-8134,豊橋市植田町字池下63-1,0532-25-2046,南稜,植田,公共,地番（枝番まで）・号,137.3670344,34.71083776
第一指定避難所,野依校区市民館,441-8124,豊橋市野依町字諏訪149-1,0532-25-2146,南稜,野依,公共,地番（枝番まで）・号,137.3877728,34.69848913
第一指定避難所,大清水校区市民館,441-8132,豊橋市南大清水町字元町78,0532-25-1243,南稜,大清水,公共,地番・番地,137.3636357,34.69570139
第一指定避難所,南稜地区市民館,441-8133,豊橋市大清水町字彦坂10-7,0532-25-3811,南稜,大清水,公共,地番（枝番まで）・号,137.3619861,34.70054056
第一指定避難所,幸校区市民館,441-8113,豊橋市西幸町字笠松184-1,0532-45-9666,高師台,幸,公共,地番（枝番まで）・号,137.407212,34.731637
第一指定避難所,高師台地区市民館,441-8113,豊橋市西幸町字浜池332-2,0532-48-1321,高師台,幸,公共,地番（枝番まで）・号,137.4097673,34.72378888
第一指定避難所,天伯校区市民館,441-8122,豊橋市天伯町字高田山137-1,0532-45-9709,高師台,天伯,公共,地番（枝番まで）・号,137.4135251,34.71264234
第一指定避難所,高師校区市民館,441-8157,豊橋市上野町字上原99-10,0532-45-9716,本郷,高師,公共,地番（枝番まで）・号,137.3921489,34.72097267
第一指定避難所,本郷地区市民館,441-8117,豊橋市浜道町字桜50-7,0532-46-8487,本郷,高師,公共,地番（枝番まで）・号,137.4007012,34.71945505
第一指定避難所,芦原校区市民館,441-8155,豊橋市芦原町字嵩山地36-4,0532-45-9718,本郷,芦原,公共,地番（枝番まで）・号,137.3809117,34.71636743
第一指定避難所,福岡校区市民館,441-8063,豊橋市橋良町字東中山3-2,0532-45-9680,南部,福岡,公共,地番（枝番まで）・号,137.3824559,34.74199057
第一指定避難所,栄校区市民館,441-8105,豊橋市北山町字東浦46-4,0532-45-9675,南部,栄,公共,地番・番地,137.3871035,34.73942283
第一指定避難所,南部地区市民館,441-8105,豊橋市北山町95-1,0532-47-0974,南部,栄,公共,地番（枝番まで）・号,137.3993203,34.73660341
第一指定避難所,中野校区市民館,441-8063,豊橋市橋良町字向山61-2,0532-48-4003,南陽,中野,公共,地番（枝番まで）・号,137.378456,34.74068287
第一指定避難所,南陽地区市民館,441-8141,豊橋市草間町字平東89,0532-48-6576,南陽,中野,公共,地番・番地,137.3789895,34.73748077
第一指定避難所,磯辺校区市民館,441-8145,豊橋市駒形町字丸山60,0532-46-9440,南陽,磯辺,公共,地番・番地,137.3664662,34.72813743
第一指定避難所,花田校区市民館,441-8081,豊橋市西羽田町247,0532-31-9612,羽田,花田,公共,地番・番地,137.3743493,34.76130448
第一指定避難所,羽根井地区市民館,441-8029,豊橋市羽根井本町131,0532-32-5050,羽田,羽根井,公共,地番・番地,137.3782648,34.75753386
第一指定避難所,牟呂校区市民館,441-8093,豊橋市牟呂中村町1-4,0532-31-9650,牟呂,牟呂,公共,地番（枝番まで）・号,137.3583387,34.75091962
第一指定避難所,牟呂地区市民館,441-8083,豊橋市東脇二丁目8-23,0532-32-4615,牟呂,牟呂,公共,地番（枝番まで）・号,137.3613237,34.75211663
第一指定避難所,汐田校区市民館,441-8087,豊橋市牟呂町字北汐田50-1,0532-47-4761,牟呂,汐田,公共,地番（枝番まで）・号,137.3628467,34.74648163
第一指定避難所,新川校区市民館,440-0872,豊橋市前田中町8-22,0532-54-1590,中部,新川,公共,地番（枝番まで）・号,137.393847,34.75988664
第一指定避難所,向山校区市民館,440-0861,豊橋市向山西町5-1,0532-53-4477,中部,向山,公共,地番（枝番まで）・号,137.4039271,34.75919764
第一指定避難所,松山校区市民館,440-0876,豊橋市西松山町42,0532-56-5818,中部,松山,公共,地番・番地,137.3871406,34.75888421
第一指定避難所,中部地区市民館,440-0874,豊橋市東松山町23,0532-53-0638,中部,松山,公共,地番・番地,137.3911964,34.75889702
第一指定避難所,東部地区市民館,440-0842,豊橋市岩屋町字岩屋下66-1,0532-63-3810,東部,岩西,公共,地番（枝番まで）・号,137.4214616,34.73704593
第一指定避難所,飯村校区市民館,440-0835,豊橋市飯村南四丁目6-4,0532-61-9892,東部,飯村,公共,地番（枝番まで）・号,137.4252733,34.74219697
第一指定避難所,つつじが丘校区市民館,440-0853,豊橋市佐藤五丁目16-1,0532-64-5109,東部,つつじが丘,公共,地番（枝番まで）・号,137.4037226,34.74346311
第一指定避難所,八町校区市民館,440-0806,豊橋市八町通五丁目5,0532-53-9472,豊城,八町,公共,地番・番地,137.3986423,34.7670563
第一指定避難所,豊城地区市民館,440-0801,豊橋市今橋町16,0532-53-3304,豊城,八町,公共,地番・番地,137.3993013,34.77030953
第一指定避難所,松葉校区市民館,440-0076,豊橋市大橋通三丁目107,0532-53-4794,豊城,松葉,公共,地番・番地,137.3811986,34.76855298
第一指定避難所,吉田方校区市民館,441-8002,豊橋市吉川町118,0532-31-9651,吉田方,吉田方,公共,地番・番地,137.3642277,34.77120729
第一指定避難所,吉田方地区市民館,441-8006,豊橋市高洲町字高洲122-7,0532-32-3978,吉田方,吉田方,公共,地番（枝番まで）・号,137.3529846,34.77153633
第一指定避難所,芦原小学校内児童クラブ,441-8155,豊橋市芦原町字嵩山地42-1,0532-48-1330,本郷,芦原,公共,地番（枝番まで）・号,137.3813633,34.71814867
第二指定避難所,大村小学校,440-0081,豊橋市大村町字地之神9,0532-52-4235,北部,大村,公共,地番・番地,137.3978061,34.78988982
第二指定避難所,下地小学校,440-0086,豊橋市下地町字宮前68,0532-54-2233,北部,下地,公共,地番・番地,137.3847799,34.77770063
第二指定避難所,北部中学校,440-0086,豊橋市下地町字長池1,0532-52-3108,北部,下地,公共,地番・番地,137.385108,34.78179134
第二指定避難所,津田小学校,440-0093,豊橋市横須賀町宮元3-1,0532-31-4429,北部,津田,公共,地番（枝番まで）・号,137.3668981,34.78130652
第二指定避難所,前芝小学校,441-0152,豊橋市前芝町字西堤30,0532-31-0500,前芝,前芝,公共,地番・番地,137.3396649,34.78605731
第二指定避難所,前芝中学校,441-0152,豊橋市前芝町字塩見1,0532-31-0507,前芝,前芝,公共,地番・番地,137.3384553,34.78633657
第二指定避難所,梅薮地区津波防災センター,441-0155,豊橋市梅薮町字西神25-1,-,前芝,前芝,公共,地番（枝番まで）・号,137.3272626,34.79157186
第二指定避難所,下条小学校,440-0002,豊橋市下条東町字西浦41,0532-88-2350,青陵,下条,公共,地番・番地,137.4151232,34.80362112
第二指定避難所,牛川小学校,440-0016,豊橋市牛川町字中郷6-1,0532-52-2616,青陵,牛川,公共,地番（枝番まで）・号,137.416114,34.78050322
第二指定避難所,青陵中学校,440-0016,豊橋市牛川町字洗島108-1,0532-54-2165,青陵,牛川,公共,地番（枝番まで）・号,137.4107382,34.77549596
第二指定避難所,旭小学校,440-0057,豊橋市旭町字旭409,0532-52-2934,青陵,旭,公共,地番・番地,137.4035409,34.76672548
第二指定避難所,藤ノ花女子高等学校,440-0053,豊橋市老松町109,0532-61-5468,青陵,旭,公共,地番・番地,137.4087684,34.76367618
第二指定避難所,東田小学校,440-0065,豊橋市仁連木町15,0532-62-0448,青陵,東田,公共,地番・番地,137.4111296,34.76987516
第二指定避難所,仁連木老人福祉ｾﾝﾀｰ,440-0065,豊橋市仁連木町136-2,0532-62-0213,青陵,東田,公共,地番（枝番まで）・号,137.4150615,34.76973589
第二指定避難所,豊橋競輪場,440-0048,豊橋市東田町87,0532-61-3136,青陵,東田,公共,地番・番地,137.4183687,34.76996284
第二指定避難所,市立豊橋高等学校,440-0068,豊橋市東郷町43-1,0532-62-0278,青陵,東田,公共,地番（枝番まで）・号,137.4105232,34.76681813
第二指定避難所,鷹丘小学校,440-0013,豊橋市西小鷹野三丁目7-1,0532-63-2633,東陵,鷹丘,公共,地番（枝番まで）・号,137.4247697,34.77275403
第二指定避難所,東陵中学校,440-0006,豊橋市牛川町字乗小路32-35,0532-66-2671,東陵,鷹丘,公共,地番（枝番まで）・号,137.4340521,34.77498255
第二指定避難所,賀茂小学校,441-1101,豊橋市賀茂町字森信24,0532-88-0400,石巻,賀茂,公共,地番・番地,137.4345911,34.83876826
第二指定避難所,西郷小学校,441-1103,豊橋市石巻萩平町字城脇164-2,0532-88-0271,石巻,西郷,公共,地番（枝番まで）・号,137.469823,34.82971385
第二指定避難所,玉川小学校,441-1115,豊橋市石巻本町字野添10,0532-88-0007,石巻,玉川,公共,地番・番地,137.4372493,34.80043145
第二指定避難所,石巻中学校,441-1115,豊橋市石巻本町字出口1,0532-88-0006,石巻,玉川,公共,地番・番地,137.4423734,34.80572311
第二指定避難所,嵩山小学校,441-1111,豊橋市嵩山町字宮下78-1,0532-88-0008,石巻,嵩山,公共,地番（枝番まで）・号,137.4722428,34.80089337
第二指定避難所,石巻小学校,441-1112,豊橋市石巻町字西浦16,0532-88-0010,石巻,石巻,公共,地番・番地,137.4385166,34.78501447
第二指定避難所,豊小学校,440-0831,豊橋市西岩田五丁目6-1,0532-63-2331,豊岡,豊,公共,地番（枝番まで）・号,137.4198483,34.75180683
第二指定避難所,藤ノ花女子高等学校　第二体育館,440-0046,豊橋市仲ノ町14,0532-63-3793,豊岡,豊,公共,地番・番地,137.4142402,34.75981491
第二指定避難所,岩田小学校,440-0832,豊橋市中岩田四丁目1-2,0532-61-2607,豊岡,岩田,公共,地番（枝番まで）・号,137.4284121,34.75677881
第二指定避難所,豊岡中学校,440-0832,豊橋市中岩田一丁目5-2,0532-61-3278,豊岡,岩田,公共,地番（枝番まで）・号,137.4236225,34.75466239
第二指定避難所,豊丘高等学校,440-0034,豊橋市豊岡町74,0532-62-3281,豊岡,岩田,公共,地番・番地,137.4196365,34.75706571
第二指定避難所,多米小学校,440-0027,豊橋市多米中町二丁目27-1,0532-62-6167,東陽,多米,公共,地番（枝番まで）・号,137.4503851,34.76119616
第二指定避難所,東陽中学校,440-0022,豊橋市岩崎町字野田1-2,0532-62-8116,東陽,多米,公共,地番（枝番まで）・号,137.443476,34.7547767
第二指定避難所,二川小学校,441-3151,豊橋市二川町字北裏80,0532-41-0550,二川,二川,公共,地番・番地,137.4507294,34.72609909
第二指定避難所,視聴覚教育センター,441-3147,豊橋市大岩町字火打坂19-16,0532-41-3330,二川,二川,公共,地番（枝番まで）・号,137.4285926,34.73050734
第二指定避難所,谷川小学校,441-3106,豊橋市中原町字東ノ谷1-3,0532-41-0501,二川,谷川,公共,地番（枝番まで）・号,137.4788995,34.72862722
第二指定避難所,二川南小学校,441-3147,豊橋市大岩町字前荒田145-2,0532-41-6991,二川,二川南,公共,地番（枝番まで）・号,137.4486402,34.71402065
第二指定避難所,二川中学校,441-3154,豊橋市二川町字西向山41-10,0532-41-0702,二川,二川南,公共,地番（枝番まで）・号,137.4504104,34.71537956
第二指定避難所,細谷小学校,441-3113,豊橋市細谷町字中ノ島47-1,0532-21-1900,五並,細谷,公共,地番（枝番まで）・号,137.4686843,34.68581195
第二指定避難所,五並中学校,441-3113,豊橋市細谷町字北芋ヶ谷30-44,0532-21-1149,五並,細谷,公共,地番（枝番まで）・号,137.4537783,34.68427321
第二指定避難所,小沢小学校,441-3122,豊橋市小島町字荒巻81-1,0532-21-1410,五並,小沢,公共,地番（枝番まで）・号,137.4418503,34.6803742
第二指定避難所,老津小学校,441-3301,豊橋市老津町字宮脇15-4,0532-23-0025,章南,老津,公共,地番（枝番まで）・号,137.3351168,34.69602049
第二指定避難所,章南中学校,441-3301,豊橋市老津町字宮脇15-2,0532-23-1328,章南,老津,公共,地番（枝番まで）・号,137.334429,34.69565597
第二指定避難所,家政高等専修学校,441-3301,豊橋市老津町字西高縄78,0532-23-0127,章南,老津,公共,地番・番地,137.3358694,34.69024012
第二指定避難所,杉山小学校,441-3302,豊橋市杉山町字御園9-4,0532-23-0069,章南,杉山,公共,地番（枝番まで）・号,137.323808,34.67633407
